Detections,X,Y,Energy Per Nucleon,Z,Height,True X,True Y,True Energy per nucleon,True Z,True Height,Phi,Epsilon,Guess Log Likelihood,True Log Likelihood
4,-7.97686585103213,1.0133045235986629,1678.4629016916217,25.0,17500.042741320645,-6.880342053538698,0.9923139423438272,1612.4646348683773,26,28526.51919245569,1.9546412592077964,4.199974902513056,23.534739841345072,25.528021439818986
4,-1.6664215794630763,-20.240765138348138,560.6380124093477,26.0,24168.640467517966,-1.6696324622895133,-18.956611198903204,578.2028306426374,26,24552.965030363448,1.2942032473723395,0.7029974609773232,25.47340955885602,27.528928530098256
4,-9.160743154636862,-4.25028813724407,362.01449762259045,26.0,21927.531466540975,-8.063897722980983,-3.8412565301291295,357.6076246204915,26,22489.12936169311,1.4288990039217913,0.057003912526740655,21.6122111026898,22.7469686720342
4,21.77221914601637,3.768212079519458,1066.4796747706573,26.0,23489.822123985523,22.380674002405613,4.208518249728996,1039.806502336732,26,23099.335675888633,1.935156692267953,0.18559073959543998,23.50495129911451,23.601909861033164
4,-1.9734448838097478,-24.90690981700152,775.5608821738277,25.0,23327.639247203853,-3.8109971925076707,-29.481730437430727,658.4763198415527,26,22627.00754526097,1.6207349158141768,1.4182125209064438,22.7162818981094,24.906791226312862
4,9.904037948998052,7.017293643864605,423.1197636037854,26.0,17506.98177360752,11.318664820150047,7.14422051209678,418.76160185691117,26,23036.700149835026,1.9213360151127843,1.869464140054271,22.273306589247113,24.32464784838612
4,-2.64761503087027,9.89802617852797,232.00146718219793,27.0,20723.12465319085,-0.39236647463718555,3.7052970904084077,329.18580451802865,26,23594.262847072343,1.3387500047393903,5.928507676981599,20.766780899127298,24.485917129107975
4,26.860923111477177,43.40549094045605,317.3237538058624,26.0,18688.67841631996,26.359180868884124,42.28379446705591,413.6133230321618,26,20689.946658476667,1.7384415046052715,2.5459710410477165,20.670582924977225,22.682183208354388
4,0.8022967647917199,-28.11152146559664,383.8078402696442,26.0,22119.15305098874,0.14723529412995617,-27.861629118010782,343.39028271101114,26,21586.058888946154,1.302817099149663,1.164690247599845,22.501235029044665,22.414621594267146
4,-23.297204143520162,-38.5617722261855,470.8370958029184,26.0,20271.356189018945,-22.133817218453416,-40.881558868714876,429.8529810319162,26,22061.06987580102,1.2473936574531603,0.2374696434881673,20.73719013058087,22.604184333516542
4,-2.4291726522913564,-15.743376701514421,408.2761552689036,26.0,23370.641992316683,-1.1907574153812561,-15.47196309209221,388.0366434074892,26,23464.299433032967,1.7418685886888143,3.7448738410395017,20.88339409981222,22.41494565003427
4,-7.159957004097407,4.946141223837799,516.5010409430669,26.0,24964.28484857623,-6.679860803942859,6.971208011499954,523.5131350494455,26,24545.9926983093,1.6511817638982793,0.1755341706807901,23.264300131285836,24.76166479395806
4,-34.87472507347343,27.241412832888614,633.1584036945753,25.0,25145.096562894578,-34.837775223615836,25.492811924151937,562.0963667156601,26,24858.548018838657,1.9414983625337963,0.5677643561098331,20.048380793560966,21.057774967970005
4,5.741123816633717,1.2084499228109848,447.34695608522543,25.0,25056.367541198066,9.79856272983244,1.1225631620244485,408.11491629200685,26,23991.706581631275,1.5942919341198782,2.246676666257586,26.87626572544309,25.146103753610532
4,21.464779383424684,10.287864830458318,702.0742915119331,26.0,24387.024940279,18.26232559647093,8.960603250602645,770.1133688291036,26,24721.320048609963,1.8363473400424852,2.6654218877008193,22.706358148590425,23.52543277098448
4,7.156972251527293,-4.976758381979039,638.3581052176403,25.0,19702.82818848508,6.112284341604635,-4.687846336147629,665.796345762369,26,24023.40118823391,1.4711786181620823,2.18727565495144,25.272451679616097,26.62677170347888
4,-0.2436468612007161,21.16756044344214,1030.8267918066485,26.0,25145.194479851583,-0.20298202233064444,18.598393952278826,1008.1477222366848,26,25970.75776375641,1.3930397214380439,1.7941137194565067,22.731721573447203,24.002866219628913
4,-17.209080135628597,-1.2171741296551204,1096.2547821997778,26.0,24773.029954632144,-15.745799386458572,-2.931415736390619,1088.643954293475,26,23197.425646706834,1.2500439981018705,6.0024314121389,23.003648308166703,24.557017520254703
4,-7.8241619529486,13.118554239521416,1104.4341540410799,26.0,25079.97356339845,-7.244987961256669,12.769452595631861,1122.7675314174357,26,25518.54110756945,1.8442777919943514,5.267224534242469,22.52350260703679,22.82639176277189
4,22.041813581042163,-11.276089561840877,741.1628958931842,26.0,23107.672297124136,21.622688356629624,-10.72697516254334,752.647557051904,26,23019.6199047016,1.3907479735825463,2.2371668500647455,24.160561987864412,23.781001184909883
4,6.947294791715763,-13.603674257824082,325.1565303868092,26.0,21762.932874852042,6.160292896579875,-12.318126203217162,382.01134023416625,26,22521.839498097852,1.5869785165877945,0.18810716580422562,21.39474323188324,22.296666386008837
4,-14.087005149858385,-9.999020988779932,385.39363325916514,26.0,22308.03774271774,-13.094444753563266,-10.76934047063699,431.2249246644723,26,22761.578602778543,1.7435986691611873,0.01716659212933669,24.478996577629914,24.12537059813485
